gene,ensembl,name,biotype,axis_membership,off_axis,novelty_tier,condition_class,best_condition,sel_confidence,evidence_tier,ad_decision_tier,best_modality,tractability,tract_sm,tract_ab,tract_pr,n_existing_drugs,max_clinical_stage,kd_mimicking_drug,example_drugs,ad_genetic,ad_overall,Tcell_log2FC_les_vs_healthy,Tcell_frac_expr_Lesional,ad_upreg_call_Tcell,AllCells_log2FC_les_vs_healthy,AllCells_frac_expr_Lesional,ad_upreg_call_AllCells,c_tractability,c_patient_upreg,c_ad_genetic,c_sel_conf,c_drug_precedent,c_offaxis,c_safety_penalty,ad_target_score
TUT7,ENSG00000083223,terminal uridylyl transferase 7,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.695,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.904,0.056,up,0.9671,0.1554,up,0.7,0.301,0.0,0.695,0.0,1.0,0.3,0.4043
SEC24C,ENSG00000176986,"SEC24 homolog C, COPII component",protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.613,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.4422,0.0253,flat,1.1007,0.0861,up,0.65,0.147,0.0,0.613,0.0,1.0,0.0,0.4035
DGCR2,ENSG00000070413,DiGeorge syndrome critical region gene 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.659,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.4061,0.0184,not_detected_Tcell,0.7275,0.1434,up,0.6,0.17,0.0,0.659,0.0,1.0,0.0,0.4034
GFER,ENSG00000127554,"growth factor, augmenter of liver regeneration",protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.555,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.45,0.5,0,0.0,False,,0.0,0.0,0.3984,0.0629,flat,0.5703,0.1015,up,0.7,0.133,0.0,0.555,0.0,1.0,0.0,0.4034
MRPS15,ENSG00000116898,mitochondrial ribosomal protein S15,protein_coding,off_axis,True,N,rest-restricted,Rest,0.585,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,1.1515,0.1319,up,1.0252,0.3032,up,0.7,0.384,0.0,0.585,0.0,1.0,0.3,0.4034
MAST3,ENSG00000099308,microtubule associated serine/threonine kinase 3,protein_coding,off_axis,True,N,rest-restricted,Rest,0.608,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.65,0.65,0.0,0.55,0,0.0,False,,0.0,0.0,-0.017,0.0195,not_detected_Tcell,1.2604,0.0245,up,0.65,0.294,0.0,0.608,0.0,1.0,0.167,0.4032
EMC3,ENSG00000125037,ER membrane protein complex subunit 3,protein_coding,off_axis,True,P,activation-gated,Stim8hr,0.624,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.2281,0.104,flat,0.5955,0.2603,up,0.7,0.076,0.0,0.624,0.0,1.0,0.0,0.403
ICAM1,ENSG00000090339,intercellular adhesion molecule 1,protein_coding,IL4R_STAT6_interactor,False,N,early-kinetic,Stim8hr,0.76,B: drug-precedented+selective,OnAxis (IL4R/STAT6 or interactor),antibody,0.9,0.65,0.9,0.5,3,3.0,True,"ALICAFORSEN, BI-505, ENLIMOMAB PEGOL",0.0,0.0288666053198021,0.8075,0.0183,not_detected_Tcell,0.7954,0.1293,up,0.9,0.186,0.0,0.76,0.75,0.0,0.333,0.4029
XIAP,ENSG00000101966,X-linked inhibitor of apoptosis,protein_coding,off_axis,True,N,rest-restricted,Rest,0.567,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0014783194187388,0.354,0.0728,flat,0.5799,0.1546,up,0.7,0.118,0.0,0.567,0.0,1.0,0.0,0.4023
USP34,ENSG00000115464,ubiquitin specific peptidase 34,protein_coding,off_axis,True,N,early-kinetic,Rest,0.559,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.367,0.1431,flat,0.5092,0.2361,up,0.7,0.122,0.0,0.559,0.0,1.0,0.0,0.4018
PRMT9,ENSG00000164169,protein arginine methyltransferase 9,protein_coding,off_axis,True,N,activation-gated,Stim48hr,0.707,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,-0.1021,0.0798,flat,0.4033,0.0588,flat,0.7,0.0,0.0,0.707,0.0,1.0,0.0,0.4011
GTPBP2,ENSG00000172432,GTP binding protein 2,protein_coding,off_axis,True,N,rest-restricted,Rest,0.591,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.5641,0.0132,not_detected_Tcell,0.8957,0.041,up,0.6,0.209,0.0,0.591,0.0,1.0,0.0,0.4004
SLC44A2,ENSG00000129353,solute carrier family 44 member 2 (CTL2 blood group),protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.611,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.3934,0.0289,flat,0.7484,0.1134,up,0.65,0.131,0.0,0.611,0.0,1.0,0.0,0.4
CBX5,ENSG00000094916,chromobox 5,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.732,E: low-tractability,AD-5: other off-axis,degrader,0.5,0.0,0.0,0.5,0,0.0,False,,0.0,0.0,0.6398,0.0982,up,0.4245,0.2384,flat,0.5,0.213,0.0,0.732,0.0,1.0,0.0,0.3997
SLC39A3,ENSG00000141873,solute carrier family 39 member 3,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.635,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.5103,0.0328,up,1.215,0.1122,up,0.6,0.17,0.0,0.635,0.0,1.0,0.0,0.3996
ABHD18,ENSG00000164074,abhydrolase domain containing 18,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.563,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.428,0.0193,not_detected_Tcell,0.7025,0.034,up,0.65,0.164,0.0,0.563,0.0,1.0,0.0,0.3989
EMC2,ENSG00000104412,ER membrane protein complex subunit 2,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.635,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0,0.1329,0.0452,flat,0.2225,0.1799,flat,0.7,0.044,0.0,0.635,0.0,1.0,0.0,0.3984
COX15,ENSG00000014919,cytochrome c oxidase assembly factor COX15,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.69,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.4092,0.0183,not_detected_Tcell,0.4822,0.0469,flat,0.6,0.113,0.0,0.69,0.0,1.0,0.0,0.397
UBR5,ENSG00000104517,ubiquitin protein ligase E3 component n-recognin 5,protein_coding,off_axis,True,N,rest-restricted,Rest,0.624,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.9361,0.0759,up,0.4316,0.1867,flat,0.7,0.312,0.0,0.624,0.0,1.0,0.3,0.3962
ADARB1,ENSG00000197381,adenosine deaminase RNA specific B1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.628,C: tractable+selective,AD-5: other off-axis,small_molecule,0.6,0.6,0.0,0.0,0,0.0,False,,0.0,0.0,0.4585,0.0378,flat,0.426,0.0584,flat,0.6,0.153,0.0,0.628,0.0,1.0,0.0,0.3951
COQ9,ENSG00000088682,coenzyme Q9,protein_coding,off_axis,True,N,rest-restricted,Rest,0.579,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.216,0.0231,flat,0.7286,0.1074,up,0.7,0.072,0.0,0.579,0.0,1.0,0.0,0.395
RCCD1,ENSG00000166965,RCC1 domain containing 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.594,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.1774,0.0238,flat,-0.1149,0.0679,flat,0.7,0.059,0.0,0.594,0.0,1.0,0.0,0.3948
ATP9B,ENSG00000166377,ATPase phospholipid transporting 9B,protein_coding,off_axis,True,N,rest-restricted,Rest,0.609,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.4974,0.0275,flat,0.8174,0.0543,up,0.6,0.166,0.0,0.609,0.0,1.0,0.0,0.3946
TDRD3,ENSG00000083544,tudor domain containing 3,protein_coding,off_axis,True,N,activation-gated,Stim48hr,0.651,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.8242,0.0314,up,0.4517,0.081,flat,0.7,0.275,0.0,0.651,0.0,1.0,0.3,0.3935
KDM2A,ENSG00000173120,lysine demethylase 2A,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.569,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0014783194187388,0.1957,0.1482,flat,0.4125,0.2188,flat,0.7,0.065,0.0,0.569,0.0,1.0,0.0,0.392
FAM3A,ENSG00000071889,FAM3 metabolism regulating signaling molecule A,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.611,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.2661,0.0437,flat,0.5502,0.132,up,0.65,0.089,0.0,0.611,0.0,1.0,0.0,0.3916
TOLLIP,ENSG00000078902,toll interacting protein,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.564,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.010604888608036,0.5445,0.0509,up,1.1624,0.2481,up,0.6,0.182,0.0,0.564,0.0,1.0,0.0,0.3906
KDM5A,ENSG00000073614,lysine demethylase 5A,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.633,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,-0.0854,0.1217,flat,-0.0211,0.2044,flat,0.7,0.0,0.0,0.633,0.0,1.0,0.0,0.3893
STAT1,ENSG00000115415,signal transducer and activator of transcription 1,protein_coding,IL4R_STAT6_interactor,False,K,late-kinetic,Stim48hr,0.652,C: tractable+selective,OnAxis (IL4R/STAT6 or interactor),small_molecule,0.65,0.65,0.0,0.5,0,0.0,False,,0.0,0.0154432311337034,1.9223,0.0904,up,2.0352,0.1978,up,0.65,0.641,0.0,0.652,0.0,0.0,0.0,0.3885
SGK3,ENSG00000104205,serum/glucocorticoid regulated kinase family member 3,protein_coding,off_axis,True,N,rest-restricted,Rest,0.655,C: tractable+selective,AD-5: other off-axis,small_molecule,0.65,0.65,0.0,0.55,0,0.0,False,,0.0,0.0,0.4984,0.0126,not_detected_Tcell,0.1638,0.0443,flat,0.65,0.038,0.0,0.655,0.0,1.0,0.0,0.3884
BLOC1S6,ENSG00000104164,biogenesis of lysosomal organelles complex 1 subunit 6,protein_coding,off_axis,True,N,rest-restricted,Rest,0.56,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.3409,0.0746,flat,0.7791,0.1645,up,0.65,0.114,0.0,0.56,0.0,1.0,0.0,0.3884
NLK,ENSG00000087095,nemo like kinase,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.557,C: tractable+selective,AD-5: other off-axis,small_molecule,0.65,0.65,0.0,0.55,0,0.0,False,,0.0,0.0,0.2373,0.0152,not_detected_Tcell,0.4897,0.034,flat,0.65,0.114,0.0,0.557,0.0,1.0,0.0,0.3879
ATP2C1,ENSG00000017260,ATPase secretory pathway Ca2+ transporting 1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.678,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.655,0.0479,up,0.694,0.1728,up,0.7,0.218,0.0,0.678,0.0,1.0,0.3,0.3873
JOSD1,ENSG00000100221,Josephin domain containing 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.629,C: tractable+selective,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.1602,0.1865,flat,0.4275,0.1772,flat,0.65,0.053,0.0,0.629,0.0,1.0,0.0,0.3872
ARL6,ENSG00000113966,ARF like GTPase 6,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.616,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.6908,0.0058,not_detected_Tcell,0.6065,0.0194,not_detected,0.7,0.0,0.0,0.616,0.0,1.0,0.0,0.3866
BRD7,ENSG00000166164,bromodomain containing 7,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.673,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.55,0,0.0,False,,0.0,0.0,0.626,0.1075,up,0.612,0.2611,up,0.7,0.209,0.0,0.673,0.0,1.0,0.3,0.385
CYTH2,ENSG00000105443,cytohesin 2,protein_coding,off_axis,True,N,rest-restricted,Rest,0.581,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0,0.0522,0.0568,flat,0.2701,0.1471,flat,0.7,0.017,0.0,0.581,0.0,1.0,0.0,0.3844
GFOD2,ENSG00000141098,Gfo/Idh/MocA-like oxidoreductase domain containing 2,protein_coding,off_axis,True,N,rest-restricted,Rest,0.67,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.196,0.0241,flat,0.492,0.0838,flat,0.6,0.065,0.0,0.67,0.0,1.0,0.0,0.3842
ATP5MF,ENSG00000241468,ATP synthase membrane subunit f,protein_coding,off_axis,True,N,rest-restricted,Rest,0.645,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.6817,0.3467,up,0.7878,0.627,up,0.7,0.227,0.0,0.645,0.0,1.0,0.3,0.3842
S100A6,ENSG00000197956,S100 calcium binding protein A6,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.693,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0192181524436044,0.1367,0.9049,flat,0.3466,0.8696,flat,0.6,0.046,0.0,0.693,0.0,1.0,0.0,0.3841
SLC22A5,ENSG00000197375,solute carrier family 22 member 5,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.432,D: tractable only,AD-5: other off-axis,antibody,0.65,0.45,0.65,0.0,0,0.0,False,,0.4101480945060207,0.2498960280139587,-0.5051,0.0069,not_detected_Tcell,-0.2492,0.0275,flat,0.65,0.0,0.4101480945060207,0.432,0.0,1.0,0.167,0.3833
PELO,ENSG00000152684,pelota mRNA surveillance and ribosome rescue factor,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.594,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,-0.0316,0.0352,flat,0.1906,0.1026,flat,0.7,0.0,0.0,0.594,0.0,1.0,0.0,0.383
DSTYK,ENSG00000133059,dual serine/threonine and tyrosine protein kinase,protein_coding,off_axis,True,N,activation-gated,Stim8hr,0.667,C: tractable+selective,AD-5: other off-axis,small_molecule,0.65,0.65,0.65,0.5,0,0.0,False,,0.0,0.0,-0.3272,0.0253,flat,0.0812,0.0752,flat,0.65,0.0,0.0,0.667,0.0,1.0,0.0,0.3827
CCNT2,ENSG00000082258,cyclin T2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.558,C: tractable+selective,AD-5: other off-axis,small_molecule,0.65,0.65,0.5,0.5,0,0.0,False,,0.0,0.0,0.2622,0.0567,flat,0.4029,0.1089,flat,0.65,0.087,0.0,0.558,0.0,1.0,0.0,0.3827
PRDX6,ENSG00000117592,peroxiredoxin 6,protein_coding,off_axis,True,N,rest-restricted,Rest,0.706,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0323526299653858,0.0196681601396906,-0.0925,0.2186,flat,0.2982,0.5406,flat,0.6,0.0,0.0323526299653858,0.706,0.0,1.0,0.0,0.3821
SKIC8,ENSG00000140395,SKI8 subunit of superkiller complex,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.656,C: tractable+selective,AD-5: other off-axis,small_molecule,0.6,0.6,0.0,0.0,0,0.0,False,,0.0,0.0,0.1946,0.0957,flat,0.4834,0.2765,flat,0.6,0.065,0.0,0.656,0.0,1.0,0.0,0.382
PTTG1IP,ENSG00000183255,PTTG1 interacting protein,protein_coding,off_axis,True,N,rest-restricted,Rest,0.574,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.3899,0.0991,flat,0.427,0.2668,flat,0.6,0.13,0.0,0.574,0.0,1.0,0.0,0.3818
CD55,ENSG00000196352,CD55 molecule (Cromer blood group),protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.577,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0178040461626523,-0.2045,0.1558,flat,-0.0743,0.3652,flat,0.7,0.0,0.0,0.577,0.0,1.0,0.0,0.3803
SLC25A26,ENSG00000144741,solute carrier family 25 member 26,protein_coding,off_axis,True,N,rest-restricted,Rest,0.563,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.3578,0.0556,flat,0.3015,0.1202,flat,0.6,0.119,0.0,0.563,0.0,1.0,0.0,0.3779
UBB,ENSG00000170315,ubiquitin B,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.561,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0,-0.2296,0.7885,flat,-0.4662,0.8387,flat,0.7,0.0,0.0,0.561,0.0,1.0,0.0,0.3778
RPS26,ENSG00000197728,ribosomal protein S26,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.297,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.0,0.5,5,4.0,False,"ATALUREN, CITATUZUMAB BOGATOX, ELX-02, MT-3724, ZOLIMOMAB ARITOX",0.1101300846085086,0.0669514701770859,,,,,,,1.0,0.0,0.1101300846085086,0.297,0.6,1.0,0.6,0.3778
FAM168B,ENSG00000152102,family with sequence similarity 168 member B,protein_coding,off_axis,True,N,rest-restricted,Rest,0.59,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.2875,0.0416,flat,0.7225,0.1275,up,0.6,0.096,0.0,0.59,0.0,1.0,0.0,0.3776
DCUN1D2,ENSG00000150401,defective in cullin neddylation 1 domain containing 2,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.669,E: low-tractability,AD-5: other off-axis,antibody,0.5,0.0,0.5,0.5,0,0.0,False,,0.0,0.0,0.7119,0.0079,not_detected_Tcell,0.6502,0.0299,up,0.5,0.152,0.0,0.669,0.0,1.0,0.0,0.3774
SVIP,ENSG00000198168,small VCP interacting protein,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.59,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0045351747138415,0.2829,0.1317,flat,0.015,0.0996,flat,0.6,0.094,0.0,0.59,0.0,1.0,0.0,0.3772
MAN2B1,ENSG00000104774,mannosidase alpha class 2B member 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.629,C: tractable+selective,AD-5: other off-axis,small_molecule,0.65,0.65,0.6,0.5,0,0.0,False,,0.0,0.0,1.5108,0.01,not_detected_Tcell,1.3398,0.0165,not_detected,0.65,0.0,0.0,0.629,0.0,1.0,0.0,0.3766
CSNK2A2,ENSG00000070770,casein kinase 2 alpha 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.638,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.55,0,0.0,False,,0.0,0.0,0.5446,0.0676,up,0.648,0.1652,up,0.7,0.182,0.0,0.638,0.0,1.0,0.3,0.3753
CNIH4,ENSG00000143771,cornichon family member 4,protein_coding,off_axis,True,N,rest-restricted,Rest,0.567,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.2962,0.1142,flat,0.764,0.3376,up,0.6,0.099,0.0,0.567,0.0,1.0,0.0,0.3745
HTATSF1,ENSG00000102241,HIV-1 Tat specific factor 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.54,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.54,0.0,1.0,0.0,0.3744
TMEM175,ENSG00000127419,transmembrane protein 175,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.54,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.54,0.0,1.0,0.0,0.3744
STARD3,ENSG00000131748,StAR related lipid transfer domain containing 3,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.54,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0035110086195046,,,,,,,0.7,0.0,0.0,0.54,0.0,1.0,0.0,0.3744
FBXW7,ENSG00000109670,F-box and WD repeat domain containing 7,protein_coding,off_axis,True,P,rest-restricted,Rest,0.708,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.3595,0.088,flat,0.2493,0.2905,flat,0.7,0.12,0.0,0.708,0.0,1.0,0.3,0.3742
FUNDC2,ENSG00000165775,FUN14 domain containing 2,protein_coding,off_axis,True,N,early-kinetic,Rest,0.561,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.3071,0.096,flat,0.3392,0.2555,flat,0.6,0.102,0.0,0.561,0.0,1.0,0.0,0.3742
SIRT6,ENSG00000077463,sirtuin 6,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.538,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0361670845794449,,,,,,,0.7,0.0,0.0,0.538,0.0,1.0,0.0,0.3741
KTN1,ENSG00000126777,kinectin 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.728,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.6585,0.2851,up,0.7031,0.6151,up,0.6,0.22,0.0,0.728,0.0,1.0,0.3,0.3735
HAX1,ENSG00000143575,HCLS1 associated protein X-1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.576,C: tractable+selective,AD-5: other off-axis,antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,0.0759,0.1821,flat,0.3529,0.2894,flat,0.65,0.025,0.0,0.576,0.0,1.0,0.0,0.3732
DIS3L,ENSG00000166938,DIS3 like exosome 3'-5' exoribonuclease,protein_coding,off_axis,True,N,rest-restricted,Rest,0.614,C: tractable+selective,AD-5: other off-axis,antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,0.4235,0.0181,not_detected_Tcell,0.2333,0.0399,flat,0.6,0.054,0.0,0.614,0.0,1.0,0.0,0.373
PCCB,ENSG00000114054,propionyl-CoA carboxylase subunit beta,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.529,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.529,0.0,1.0,0.0,0.3726
NRIP1,ENSG00000180530,nuclear receptor interacting protein 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.493,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0357233489581259,0.0217173240254717,,,,,,,0.7,0.0,0.0357233489581259,0.493,0.0,1.0,0.0,0.3726
ELMO1,ENSG00000155849,engulfment and cell motility 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.526,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.526,0.0,1.0,0.0,0.3722
ZMYND19,ENSG00000165724,zinc finger MYND-type containing 19,protein_coding,off_axis,True,N,rest-restricted,Rest,0.601,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.074761662897015,0.0454499173557534,0.579,0.0218,up,1.3186,0.0748,up,0.65,0.193,0.074761662897015,0.601,0.0,1.0,0.3,0.372
MRPL3,ENSG00000114686,mitochondrial ribosomal protein L3,protein_coding,off_axis,True,N,rest-restricted,Rest,0.523,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.523,0.0,1.0,0.0,0.3717
POLH,ENSG00000170734,DNA polymerase eta,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.523,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,,,,,,,0.7,0.0,0.0,0.523,0.0,1.0,0.0,0.3717
MTRF1L,ENSG00000112031,mitochondrial translation release factor 1 like,protein_coding,off_axis,True,N,rest-restricted,Rest,0.719,C: tractable+selective,AD-5: other off-axis,small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.2843,0.0255,flat,-0.0117,0.1025,flat,0.7,0.095,0.0,0.719,0.0,1.0,0.3,0.3714
CPOX,ENSG00000080819,coproporphyrinogen oxidase,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.701,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.65,0.65,0.0,0.0,0,0.0,False,,0.0,0.032685642348315,0.5058,0.0362,up,0.3541,0.051,flat,0.65,0.169,0.0,0.701,0.0,1.0,0.3,0.3713
